,DATE,HOUR,MACHINE #1 DOWNTIME / MINUTES,MACHINE #2 DOWNTIME / MINUTES,MACHINE #3 DOWNTIME / MINUTES,MACHINE #4 DOWNTIME / MINUTES,MACHINE #5 DOWNTIME / MINUTES,MACHINE #6 DOWNTIME / MINUTES
,,0,,,,,,
,,1,,,,,,
,,2,,,,,,
,,3,,,,,,
,,4,,,,,,
,,5,,,,,,
,,6,,,,,,
,,7,,,,,,
,,8,,,,,,
,,9,,,,,,
,,10,,,,,,
,,11,,,,,,
,,12,,,,,,
,,13,,,,,,
,,14,,,,,,
,,15,,,,,,
,,16,,,,,,
,,17,,,,,,
,,18,,,,,,
,,19,,,,,,
,,20,,,,,,
,,21,,,,,,
,,22,,,,,,
,,23,,,,,,
,,24,,,,,,
,MACHINE DOWNTIME TOTAL MINUTES X DAY,,0,0,0,0,0,0
